timestamp, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], temperature.gpu, power.draw [W], clocks_event_reasons.active
2026/09/24 08:47:54.860, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.42 W, 0x0000000000000001
2026/09/24 08:47:55.113, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.35 W, 0x0000000000000001
2026/09/24 08:47:55.364, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.35 W, 0x0000000000000001
2026/09/24 08:47:55.616, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.42 W, 0x0000000000000001
2026/09/24 08:47:55.871, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.42 W, 0x0000000000000001
2026/09/24 08:47:56.123, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.46 W, 0x0000000000000001
2026/09/24 08:47:56.377, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.46 W, 0x0000000000000001
2026/09/24 08:47:56.629, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.44 W, 0x0000000000000001
2026/09/24 08:47:56.894, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.44 W, 0x0000000000000001
2026/09/24 08:47:57.154, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.47 W, 0x0000000000000001
2026/09/24 08:47:57.408, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.47 W, 0x0000000000000001
2026/09/24 08:47:57.666, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.44 W, 0x0000000000000001
2026/09/24 08:47:57.921, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.44 W, 0x0000000000000001
2026/09/24 08:47:58.172, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.79 W, 0x0000000000000001
2026/09/24 08:47:58.426, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.79 W, 0x0000000000000001
2026/09/24 08:47:58.679, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.47 W, 0x0000000000000001
2026/09/24 08:47:58.936, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.47 W, 0x0000000000000001
2026/09/24 08:47:59.190, P0, 1740 MHz, 6101 MHz, 0 %, 72, 18.49 W, 0x0000000000000001
